Month_Year,EL_Solar_BusBarn_Total_KW,non_zero_count,GHI,non_zero_count_ghi,Average_KW,Average_GHI,Conversion_Efficiency
2016-11,2144.151605982,30,71361,30,71.4717201994,2378.7,0.12107156601195246
2016-12,939.110530227,30,46440,31,31.303684340900002,1498.0645161290322,0.08420008615254496
2017-01,1069.798290781,31,42541,31,34.50962228325807,1372.2903225806451,0.10133087729300169
2017-02,2619.63165202,28,87969,28,93.55827328642856,3141.75,0.11999362446856085
2017-03,2901.44870759,24,103756,31,120.89369614958333,3346.967741935484,0.1455458164222856
2017-04,4048.84145924,30,135041,30,134.96138197466666,4501.366666666667,0.12081273707299828
2017-05,5342.18711971,31,182073,31,172.3286167648387,5873.322580645161,0.11822821843372648
2017-06,6673.8225238,30,218678,30,222.46075079333335,7289.266666666666,0.12297509241421957
2017-07,6538.08310747,31,213480,31,210.90590669258066,6886.451612903225,0.1234072970192541
2017-08,4930.76746989,31,175423,31,159.05701515774194,5658.806451612903,0.11325974664243627
2017-09,4539.27165612,30,148251,30,151.309055204,4941.7,0.1233775495235572
2017-10,3000.191145316,31,83569,31,96.78035952632258,2695.7741935483873,0.14466095142768293
2017-11,2483.000313791,30,63819,30,82.76667712636666,2127.3,0.15677412196647725
2017-12,2289.40135768,31,54596,31,73.85165669935483,1761.1612903225807,0.16896965153985774
2018-01,2245.447913576,31,62084,31,72.43380366374193,2002.7096774193549,0.14573735818113495
2018-02,1955.955633152,28,76708,28,69.85555832685715,2739.5714285714284,0.10274623990206509
2018-03,4012.359855315,31,127432,31,129.4309630746774,4110.709677419355,0.1268729315238298
2018-04,4604.6068158,30,143188,30,153.48689385999998,4772.933333333333,0.1295786725194729
2018-05,5793.17111504,31,171762,31,186.87648758193546,5540.709677419355,0.1359054477530515
2018-06,5655.01276304,30,178286,30,188.50042543466668,5942.866666666667,0.12780973831006387
2018-07,6681.20586966,31,207775,31,215.52276998903224,6702.419354838709,0.12957140275319864
2018-08,4939.17805345,31,162798,31,159.32832430483873,5251.548387096775,0.1222512236249981
2018-09,3750.232154273,30,118952,30,125.00773847576667,3965.0666666666666,0.12703810363111667
2018-10,3025.5596218700002,31,87787,31,97.59869747967743,2831.8387096774195,0.13887469087209856
2018-11,1684.364585163,30,55285,30,56.1454861721,1842.8333333333333,0.12276551360904325
2018-12,1648.6122066169999,31,44103,31,53.18103892312903,1422.6774193548388,0.1506253178311291
2019-01,1401.717791579,31,59901,31,45.21670295416129,1932.2903225806451,0.0942918400012148
2019-02,1838.730483794,28,79875,28,65.66894584978571,2852.6785714285716,0.09275873184228862
2019-03,3878.6474104999998,31,130690,31,125.1176584032258,4215.806451612903,0.11958743234660077
2019-04,3838.91182946,30,128400,30,127.96372764866666,4280.0,0.12047327354377936
2019-05,4192.5817199699995,31,140076,31,135.24457161193547,4518.580645161291,0.12060502481799878
2019-06,5122.33083697,30,172124,30,170.74436123233332,5737.466666666666,0.11991507744910561
2019-07,5918.37738323,31,211063,31,190.91539945903227,6808.4838709677415,0.11298951514943453
2019-08,5156.69940831,31,172477,31,166.3451422035484,5563.774193548387,0.12047258366636811
2019-09,3690.32845468,30,118101,30,123.01094848933333,3936.7,0.1259096580529621
2019-10,2789.33263618,31,87731,31,89.97847213483871,2830.032258064516,0.12811347935331063
2019-11,1814.444385576,30,57955,30,60.4814795192,1931.8333333333333,0.12615380339748467
2019-12,1872.674840897,31,48512,31,60.4088658353871,1564.9032258064517,0.15554669712300823
2020-01,1359.928905176,31,48664,31,43.868674360516124,1569.8064516129032,0.1126045654173067
2020-02,2704.3348188,29,90920,29,93.25292478620689,3135.1724137931033,0.11985292302665526
2020-03,2991.14889197,31,97527,31,96.48867393451613,3146.032258064516,0.12358357776708616
2020-04,4348.76135962,30,144193,30,144.95871198733332,4806.433333333333,0.12152594197996004
2020-05,4437.32644791,31,150178,31,143.13956283580646,4844.451612903225,0.11905911816441309
2020-06,5573.58285987,30,195541,30,185.786095329,6518.033333333334,0.1148534982492642
2020-07,5661.67177802,31,205089,31,182.63457348451612,6615.774193548387,0.11123716671834526
2020-08,5495.0616552,31,195499,31,177.2600533935484,6306.419354838709,0.11325975735134461
2020-09,3705.87760367,30,125341,30,123.52925345566668,4178.033333333334,0.11913668558250533
2020-10,2796.21490378,31,88821,31,90.20048076709678,2865.1935483870966,0.12685350904570683
2020-11,2423.13914698,30,68309,30,80.77130489933333,2276.9666666666667,0.1429381062056546
2020-12,1547.3302596190001,31,54030,31,49.91387934254839,1742.9032258064517,0.11539730029084842
2021-01,966.621173643,29,199126,31,33.33176460837931,6423.419354838709,0.0209093064458477
2021-02,1104.389865585,28,217231,28,39.44249519946429,7758.25,0.020485577372395272
2021-03,3457.88662809,31,259852,31,111.5447299383871,8382.322580645161,0.05362067587990738
2021-04,4424.3846139,30,272118,30,147.47948713,9070.6,0.06551537037365919
2021-05,4496.20281591,31,308034,31,145.0388005132258,9936.58064516129,0.058815911965610965
2021-06,5295.48704216,30,304048,30,176.51623473866667,10134.933333333332,0.07017967556454793
2021-07,5038.47039564,31,254621,31,162.53130308516128,8213.58064516129,0.07973556742957567
2021-08,5077.8515642699995,31,264823,31,163.80166336354836,8542.677419354839,0.07726305884213547
2021-09,4552.97018334,30,247876,30,151.765672778,8262.533333333333,0.07401298575517677
2021-10,2921.27842759,31,234874,31,94.2347879867742,7576.580645161291,0.05011706217892719
2021-11,2212.35242713,30,208176,30,73.74508090433332,6939.2,0.04282242418262572
2021-12,1800.763636789,31,192263,31,58.08914957383871,6202.032258064516,0.03774058217585296
