daily_avg,Date
13.02962935,2/18/17 0:00
9.18304876,11/27/13 0:00
7.467649732,3/6/20 0:00
10.27814761,12/19/15 0:00
10.38066883,11/12/16 0:00
8.511228746,12/7/17 0:00
8.603998731,11/29/17 0:00
24.0505161,1/1/20 0:00
12.97409227,10/4/20 0:00
5.77411928,2/21/20 0:00
12.60018069,2/3/17 0:00
9.582936813,1/12/16 0:00
8.866286896,11/16/12 0:00
5.838483629,1/30/19 0:00
3.886144524,11/22/19 0:00
15.49737546,12/29/18 0:00
14.04589948,2/15/17 0:00
11.57873719,10/13/20 0:00
11.50090887,11/2/15 0:00
9.911050943,11/12/15 0:00
8.782587417,11/28/12 0:00
3.405502015,12/28/13 0:00
20.39764867,11/7/20 0:00
8.729337794,1/5/12 0:00
7.988575319,1/1/13 0:00
2.576740866,11/11/15 0:00
12.77930498,10/7/19 0:00
8.635735445,1/11/12 0:00
10.43448465,11/17/11 0:00
12.41898116,10/8/19 0:00
11.94522558,10/7/20 0:00
12.99357954,2/17/17 0:00
11.02247572,11/4/16 0:00
4.163383844,12/14/20 0:00
1.22816751,12/21/14 0:00
20.88074107,11/26/20 0:00
14.42142043,10/14/19 0:00
5.258198982,11/1/20 0:00
0.928416409,1/6/16 0:00
28.12843343,11/15/17 0:00
0.750183234,1/3/20 0:00
11.13756452,10/30/12 0:00
4.41167142,11/16/20 0:00
1.992288311,12/7/12 0:00
0.393864776,1/7/15 0:00
1.394479233,12/15/11 0:00
3.325279404,12/8/18 0:00
14.08715739,2/12/17 0:00
36.40652992,1/20/18 0:00
0.948152127,1/2/16 0:00
8.393458231,12/24/11 0:00
0,12/4/16 0:00
13.9767496,10/13/15 0:00
11.00346624,11/8/15 0:00
2.626706333,12/21/12 0:00
0.264553137,12/13/15 0:00
10.50388974,11/13/12 0:00
0,12/25/13 0:00
10.65638218,11/8/16 0:00
15.76554734,9/26/16 0:00
21.08708774,4/3/18 0:00
5.501759733,2/6/20 0:00
11.38314202,11/3/15 0:00
5.072505953,1/17/18 0:00
1.065095586,12/26/15 0:00
10.53193197,11/16/16 0:00
29.74846836,11/9/17 0:00
11.24556723,10/17/19 0:00
7.946308973,12/11/12 0:00
11.79461477,2/12/12 0:00
9.709411015,10/25/19 0:00
5.674309626,2/18/20 0:00
7.662743705,12/8/17 0:00
10.90135719,11/9/13 0:00
1.015246716,11/16/13 0:00
10.63067081,1/12/15 0:00
9.576645119,11/15/13 0:00
8.642774652,1/25/14 0:00
32.31958921,12/19/19 0:00
20.30467349,10/28/18 0:00
10.40296382,1/17/16 0:00
1.806343921,12/11/19 0:00
2.960225731,1/5/20 0:00
33.94198415,12/23/20 0:00
0.613210444,12/14/11 0:00
